Target,ECO,EKP,PTX
Amikacin_AB,0.9298245614035088,0.9032258064516129,0.5
Aztreonam_AB,,0.8275862068965517,
Cefazolin_AB,0.8333333333333334,0.8,
Cefepime_AB,0.5555555555555556,0.8333333333333334,
Cefotaxime_AB,0.9583333333333334,,
Ceftazidime_AB,0.8679245283018868,0.8333333333333334,
Cefuroxime_AB,,0.8620689655172413,
Ertapenem_AB,0.9090909090909091,0.9354838709677419,
Gentamicin_AB,1.0,0.9354838709677419,
Imipenem_AB,,0.9473684210526315,
Levofloxacin_AB,0.9,0.85,
Meropenem_AB,,0.9354838709677419,1.0
Nitrofurantoin_AB,,0.95,
Tobramycin_AB,1.0,0.9333333333333333,0.8
Median,0.9090909090909091,0.9032258064516129,0.8
