Target,ECO,EKP,PTX
Amikacin_AB,0.8495040229131138,0.8584868696383097,1.0
Aztreonam_AB,,0.9376723619914864,
Cefazolin_AB,1.0,0.8461653394140025,
Cefepime_AB,0.7953703703703704,0.6771439133881267,
Cefotaxime_AB,0.9261160949188671,,
Ceftazidime_AB,0.8294009452976502,0.937728684713979,
Cefuroxime_AB,,0.9241020812858656,
Ertapenem_AB,1.0,0.9199170274170274,
Gentamicin_AB,1.0,0.9172403456481512,
Imipenem_AB,,1.0,
Levofloxacin_AB,0.7444444444444445,0.5632573400011026,
Meropenem_AB,,0.9371771284271286,1.0
Nitrofurantoin_AB,,1.0,
Tobramycin_AB,1.0,0.9125415153580299,0.725
Median,0.9261160949188671,0.9199170274170274,1.0
